Id,y
30000,3
30001,8
30002,8
30003,3
30004,3
30005,2
30006,2
30007,0
30008,9
30009,2
30010,6
30011,7
30012,0
30013,2
30014,5
30015,1
30016,7
30017,5
30018,0
30019,9
30020,6
30021,0
30022,5
30023,3
30024,2
30025,7
30026,9
30027,7
30028,0
30029,7
30030,8
30031,8
30032,1
30033,2
30034,4
30035,4
30036,9
30037,4
30038,7
30039,4
30040,6
30041,6
30042,3
30043,7
30044,6
30045,6
30046,2
30047,8
30048,3
30049,7
30050,5
30051,2
30052,7
30053,1
30054,4
30055,4
30056,8
30057,8
30058,5
30059,1
30060,6
30061,2
30062,3
30063,7
30064,7
30065,0
30066,7
30067,1
30068,9
30069,3
30070,1
30071,3
30072,8
30073,8
30074,7
30075,7
30076,5
30077,6
30078,2
30079,9
30080,6
30081,2
30082,0
30083,0
30084,2
30085,6
30086,0
30087,7
30088,2
30089,6
30090,1
30091,6
30092,9
30093,0
30094,7
30095,6
30096,7
30097,1
30098,8
30099,4
30100,4
30101,3
30102,8
30103,5
30104,8
30105,1
30106,4
30107,1
30108,3
30109,5
30110,2
30111,7
30112,7
30113,5
30114,6
30115,7
30116,8
30117,2
30118,2
30119,4
30120,6
30121,5
30122,0
30123,6
30124,2
30125,8
30126,7
30127,7
30128,0
30129,8
30130,6
30131,3
30132,6
30133,1
30134,0
30135,7
30136,0
30137,8
30138,0
30139,4
30140,6
30141,6
30142,0
30143,2
30144,1
30145,6
30146,3
30147,9
30148,2
30149,3
30150,9
30151,3
30152,7
30153,0
30154,4
30155,9
30156,9
30157,2
30158,1
30159,8
30160,4
30161,2
30162,3
30163,7
30164,1
30165,2
30166,7
30167,1
30168,1
30169,9
30170,8
30171,3
30172,3
30173,1
30174,1
30175,0
30176,3
30177,1
30178,0
30179,9
30180,3
30181,2
30182,0
30183,7
30184,1
30185,0
30186,3
30187,4
30188,1
30189,5
30190,9
30191,1
30192,0
30193,1
30194,7
30195,0
30196,8
30197,6
30198,5
30199,1
30200,6
30201,1
30202,0
30203,6
30204,5
30205,5
30206,9
30207,3
30208,5
30209,3
30210,9
30211,7
30212,8
30213,9
30214,5
30215,7
30216,6
30217,1
30218,5
30219,7
30220,8
30221,2
30222,8
30223,3
30224,3
30225,6
30226,2
30227,9
30228,3
30229,9
30230,6
30231,0
30232,6
30233,3
30234,0
30235,8
30236,6
30237,9
30238,2
30239,1
30240,9
30241,4
30242,2
30243,0
30244,7
30245,6
30246,7
30247,6
30248,2
30249,6
30250,0
30251,1
30252,9
30253,5
30254,5
30255,4
30256,6
30257,3
30258,5
30259,5
30260,1
30261,2
30262,4
30263,9
30264,2
30265,3
30266,8
30267,8
30268,9
30269,5
30270,1
30271,3
30272,3
30273,4
30274,5
30275,3
30276,4
30277,5
30278,2
30279,1
30280,7
30281,2
30282,7
30283,6
30284,8
30285,8
30286,8
30287,6
30288,9
30289,1
30290,2
30291,2
30292,6
30293,8
30294,3
30295,1
30296,9
30297,2
30298,9
30299,8
30300,1
30301,9
30302,7
30303,4
30304,9
30305,9
30306,9
30307,2
30308,6
30309,1
30310,7
30311,1
30312,6
30313,1
30314,3
30315,9
30316,2
30317,4
30318,4
30319,0
30320,6
30321,8
30322,2
30323,7
30324,5
30325,4
30326,1
30327,2
30328,0
30329,0
30330,9
30331,1
30332,7
30333,4
30334,4
30335,3
30336,6
30337,9
30338,5
30339,1
30340,9
30341,0
30342,8
30343,3
30344,3
30345,8
30346,0
30347,1
30348,7
30349,9
30350,5
30351,8
30352,2
30353,8
30354,9
30355,3
30356,7
30357,0
30358,7
30359,4
30360,5
30361,4
30362,8
30363,4
30364,9
30365,7
30366,2
30367,0
30368,3
30369,0
30370,1
30371,9
30372,6
30373,3
30374,6
30375,5
30376,2
30377,0
30378,1
30379,2
30380,5
30381,7
30382,5
30383,2
30384,6
30385,7
30386,8
30387,4
30388,0
30389,1
30390,3
30391,3
30392,5
30393,3
30394,2
